선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
오승환,삼성,3,9,27,2,8,58,0,55.0,6.87,2.95,1.47,0.355,71.9,4.91,5.37,5.38,-0.12,0.49
김도규,롯데,0,1,0,0,0,5,0,4.0,11.25,13.5,0.0,0.417,69.2,9.0,6.54,7.09,-0.12,-0.15
강건,KT,0,1,0,0,0,4,1,4.0,6.75,9.0,2.25,0.467,69.0,11.25,9.29,9.97,-0.12,-0.17
김태훈(투),삼성,3,2,0,23,1,56,0,52.1,6.36,3.27,1.03,0.27,75.5,3.96,5.12,5.27,-0.12,1.52
조영건,Hero,2,1,0,1,0,25,3,39.1,7.09,5.49,1.6,0.331,55.9,8.01,6.43,6.58,-0.13,-0.82
이의리,KIA,1,0,0,0,0,4,4,13.1,9.45,9.45,2.02,0.368,78.4,5.4,7.76,7.85,-0.13,0.05
최민준,SSG,1,0,0,0,0,32,0,39.1,9.15,5.49,2.06,0.419,69.0,7.78,6.71,6.65,-0.13,0.0
임기영,KIA,6,2,0,2,0,37,3,45.2,7.09,3.35,1.58,0.344,64.9,6.31,5.6,5.6,-0.13,0.14
백승건,SSG,0,0,0,0,0,10,0,9.1,4.82,8.68,1.93,0.314,67.7,7.71,8.39,9.0,-0.13,-0.13
정우준,롯데,0,0,0,0,0,8,0,8.1,5.4,7.56,2.16,0.308,91.5,4.32,8.23,8.69,-0.14,0.15
김건국,KIA,0,1,0,0,0,20,3,34.1,5.24,3.67,1.31,0.347,54.4,7.86,5.91,6.21,-0.14,-0.33
윤성빈,롯데,0,1,0,0,0,1,1,1.0,9.0,18.0,9.0,0.6,21.7,45.0,20.79,21.5,-0.15,-0.29
김태현,NC,0,0,0,0,0,11,0,10.0,2.7,6.3,2.7,0.314,65.5,7.2,9.19,9.91,-0.15,-0.22
